token: the, frequency: 6522
token: ,, frequency: 6506
token: ., frequency: 6102
token: of, frequency: 3493
token: ', frequency: 3118
token: a, frequency: 2575
token: and, frequency: 2445
token: to, frequency: 2348
token: was, frequency: 2316
token: he, frequency: 1968
token: it, frequency: 1920
token: in, frequency: 1868
token: -, frequency: 1729
token: that, frequency: 1507
token: had, frequency: 1344
token: his, frequency: 1086
token: you, frequency: 1011
token: not, frequency: 850
token: with, frequency: 792
token: as, frequency: 728
token: for, frequency: 665
token: at, frequency: 665
token: they, frequency: 657
token: be, frequency: 657
token: but, frequency: 641
token: were, frequency: 636
token: is, frequency: 631
token: on, frequency: 615
token: there, frequency: 572
token: winston, frequency: 527
token: him, frequency: 513
token: i, frequency: 497
token: which, frequency: 472
token: or, frequency: 467
token: s, frequency: 445
token: one, frequency: 443
token: by, frequency: 436
token: all, frequency: 426
token: could, frequency: 425
token: from, frequency: 422
token: her, frequency: 421
token: been, frequency: 416
token: she, frequency: 395
token: no, frequency: 387
token: ?, frequency: 385
token: have, frequency: 379
token: would, frequency: 359
token: out, frequency: 354
token: an, frequency: 344
token: said, frequency: 341
token: what, frequency: 334
token: when, frequency: 318
token: up, frequency: 318
token: even, frequency: 307
token: are, frequency: 296
token: this, frequency: 292
token: them, frequency: 289
token: party, frequency: 289
token: into, frequency: 277
token: !, frequency: 258
token: their, frequency: 240
token: if, frequency: 238
token: :, frequency: 233
token: we, frequency: 232
token: any, frequency: 229
token: only, frequency: 228
token: did, frequency: 228
token: like, frequency: 225
token: down, frequency: 223
token: o, frequency: 212
token: more, frequency: 210
token: so, frequency: 208
token: brien, frequency: 205
token: time, frequency: 203
token: thought, frequency: 198
token: face, frequency: 196
token: some, frequency: 195
token: then, frequency: 191
token: will, frequency: 182
token: never, frequency: 182
token: do, frequency: 179
token: t, frequency: 178
token: again, frequency: 177
token: seemed, frequency: 173
token: ;, frequency: 173
token: two, frequency: 171
token: its, frequency: 170
token: other, frequency: 169
token: over, frequency: 167
token: your, frequency: 166
token: than, frequency: 156
token: moment, frequency: 156
token: back, frequency: 155
token: about, frequency: 152
token: still, frequency: 151
token: man, frequency: 150
token: can, frequency: 146
token: always, frequency: 146
token: who, frequency: 143
token: now, frequency: 136
token: very, frequency: 133
token: know, frequency: 133
token: way, frequency: 128
token: almost, frequency: 128
token: before, frequency: 127
token: war, frequency: 125
token: another, frequency: 125
token: though, frequency: 124
token: words, frequency: 123
token: three, frequency: 123
token: might, frequency: 122
token: years, frequency: 121
token: eyes, frequency: 120
token: because, frequency: 119
token: same, frequency: 118
token: me, frequency: 115
token: little, frequency: 114
token: old, frequency: 113
token: made, frequency: 113
token: long, frequency: 113
token: knew, frequency: 113
token: round, frequency: 109
token: thing, frequency: 108
token: past, frequency: 107
token: himself, frequency: 107
token: people, frequency: 106
token: own, frequency: 106
token: world, frequency: 105
token: must, frequency: 105
token: how, frequency: 105
token: against, frequency: 105
token: say, frequency: 104
token: after, frequency: 101
token: through, frequency: 100
token: julia, frequency: 100
token: away, frequency: 100
token: something, frequency: 99
token: place, frequency: 99
token: voice, frequency: 98
token: mind, frequency: 98
